Region;Gender;Year;Per
Жамбылская;0;2019;52,1
Карагандинская;1;2019;56,8
Карагандинская;0;2019;43,2
Костанайская;1;2019;54,0
Костанайская;0;2019;46,0
Кызылординская;1;2019;48,6
Кызылординская;0;2019;51,4
Мангистауская;1;2019;58,6
Мангистауская;0;2019;41,4
Южно-Казахстанская;1;2019;-
Южно-Казахстанская;0;2019;-
Павлодарская;1;2019;63,1
Павлодарская;0;2019;36,9
Северо-Казахстанская;1;2019;36,6
Северо-Казахстанская;0;2019;63,4
Туркестанская;1;2019;39,9
Туркестанская;0;2019;60,1
Восточно-Казахстанская;1;2019;50,2
Восточно-Казахстанская;0;2019;49,8
г.Нур-Султан;1;2019;52,8
г.Нур-Султан;0;2019;47,2
г. Алматы;1;2019;52,5
г. Алматы;0;2019;47,5
г.Шымкент;1;2019;46,9
г.Шымкент;0;2019;53,1
