Region;Gender;Year;Per
Aqmola;1;2019;55,2
Aqmola;0;2019;44,8
Aqtobe;1;2019;54,4
Aqtobe;0;2019;45,6
Almaty;1;2019;59,5
Almaty;0;2019;40,5
Atyrau;1;2019;43,6
Atyrau;0;2019;56,4
West Kazakhstan;1;2019;42,8
West Kazakhstan;0;2019;57,2
Zhambyl;1;2019;47,9
Zhambyl;0;2019;52,1
Qaragandy;1;2019;56,8
Qaragandy;0;2019;43,2
Qostanay;1;2019;54,0
Qostanay;0;2019;46,0
Qyzylorda;1;2019;48,6
Qyzylorda;0;2019;51,4
Mangghystau;1;2019;58,6
Mangghystau;0;2019;41,4
Pavlodar;1;2019;63,1
Pavlodar;0;2019;36,9
North Kazakhstan;1;2019;36,6
North Kazakhstan;0;2019;63,4
Turkistan;1;2019;39,9
Turkistan;0;2019;60,1
East Kazakhstan;1;2019;50,2
East Kazakhstan;0;2019;49,8
